,champion,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,item0,item1,item2,item3,item4,item5,item6,perk0,perk1,perk2,perk3,perk4,perk5,statPerk0,statPerk1,statPerk2,championName
7712,711,14,4,False,1,5,1,73941,2033,6656,1082,0,0,3020,3340,8112,8139,8138,8105,8352,8345,5005,5008,5003,Vex
7713,21,4,7,False,1,8,1,71167,1055,6672,3070,2422,3133,1036,3340,8229,8226,8233,8236,8304,8345,5005,5008,5002,MissFortune
7714,412,4,3,False,1,6,1,13945,3190,3855,2055,0,3158,0,3364,8439,8463,8473,8242,8345,8352,5005,5008,5002,Thresh
7715,240,4,14,True,3,2,2,98005,3068,1001,3748,1055,0,0,3340,8010,9111,9104,8014,8473,8451,5008,5008,5003,Kled
7716,32,4,11,True,4,3,10,79317,0,2031,4636,0,0,3047,3364,8010,9111,9105,8299,8126,8106,5008,5008,5002,Amumu
7717,112,12,4,True,9,2,6,93680,2031,3157,3067,6653,3158,3067,3340,8230,8226,8210,8236,8453,8401,5008,5008,5003,Viktor
7718,202,7,4,True,8,0,8,110091,6671,3035,3009,1018,6676,0,3363,8021,8009,9103,8014,8233,8236,5008,5008,5002,Jhin
7719,63,4,14,True,5,1,12,39211,3853,2421,6653,1052,0,3158,3364,8229,8226,8210,8237,8345,8347,5007,5008,5003,Brand
7720,17,4,12,True,12,7,11,147156,1056,6653,3020,4637,3089,3165,3340,8437,8446,8473,8242,8304,8345,5005,5008,5002,Teemo
7721,77,4,11,True,9,2,13,165888,6662,3110,3742,3075,3047,2055,3364,8230,8275,8234,8232,9111,9104,5005,5008,5002,Udyr
7722,34,4,12,True,3,4,14,117072,1056,3157,6653,1058,3047,3070,3340,8112,8126,8138,8105,8009,8014,5008,5008,5002,Anivia
7723,119,4,7,True,9,4,11,162214,3031,6676,6673,3006,3123,1036,3340,9923,8139,8138,8135,8233,8236,5005,5008,5002,Draven
7724,111,14,4,True,2,7,14,31067,3190,3860,3082,3076,3047,1011,3364,8439,8463,8429,8451,8306,8352,5008,5008,5002,Nautilus
7725,122,6,4,False,1,6,9,139739,1054,3742,6631,3044,1028,3111,3364,8010,9111,9104,8299,8473,8451,5005,5008,5002,Darius
